Ax,Ay,Az,Gx,Gy,Gz,Label
0.3548,0.387,1.018,253.54,-472.71,220.5,A
0.1606,0.4812,1.1497,265.09,-461.51,181.65,A
0.3821,1.0189,1.3454,198.52,-443.31,151.62,A
0.3177,1.0233,1.4084,181.37,-407.89,81.83,A
0.4094,0.7754,1.5474,143.22,-370.79,53.69,A
0.5144,0.6686,1.9662,156.59,-304.15,52.08,A
0.6183,0.548,2.1228,205.38,-98.35,22.33,A
0.5524,0.7593,1.7954,159.88,135.66,-23.94,A
0.3787,0.8447,1.2356,107.03,188.58,-60.69,A
0.3323,0.73,0.9814,62.79,182.7,-83.58,A
0.2513,0.6612,0.8935,14.21,156.59,-54.67,A
0.1801,0.7769,1.0233,-27.37,134.54,-41.79,A
0.1801,0.856,1.1204,-58.38,131.04,-36.47,A
0.285,0.7764,1.8476,-68.46,189.35,-80.64,A
0.4333,0.7896,1.7017,-83.3,351.4,-118.23,A
0.429,0.5714,0.9775,-172.69,451.57,-138.74,A
0.6837,0.2694,2.1374,141.05,-116.2,42.21,A
0.5622,0.3572,1.9569,154.63,45.08,37.1,A
0.4821,0.5153,1.9291,142.73,114.1,23.73,A
0.5266,0.5266,1.8754,153.16,201.95,3.29,A
0.3655,0.7676,1.4806,82.81,287.07,-51.38,A
0.2074,0.7379,1.0512,1.75,278.6,-85.82,A
0.1171,0.7271,1.1897,-61.74,252.14,-82.32,A
0.1288,0.5636,1.22,-69.09,262.01,-89.18,A
0.1728,0.3582,1.3156,-117.11,265.51,-68.53,A
0.161,0.4133,1.119,-120.89,303.03,-108.36,A
0.1108,0.1703,0.8686,-119.84,288.26,-91.63,A
0.1303,-0.161,0.7227,-76.79,282.94,-52.22,A
0.0049,-0.1645,0.5778,-36.96,256.48,1.54,A
-0.1547,-0.1049,0.3889,-6.09,212.24,41.51,A
-0.326,0.2035,0.5851,-9.66,177.1,44.87,A
-0.4821,0.5348,0.7867,-35.42,185.5,-12.39,A
-0.5783,0.5958,0.6168,-101.5,165.41,-74.55,A
-0.6051,0.3392,0.4065,-141.47,95.83,-101.92,A
-0.5822,0.0917,0.3216,-127.26,46.2,-96.95,A
-0.4992,0.0361,-0.1313,-101.57,-4.62,-93.52,A
-0.508,0.1293,-0.4089,-107.38,-122.01,-84.0,A
-0.446,0.1864,-0.6432,-47.81,-276.71,-94.71,A
0.0664,0.407,-0.7662,-104.3,-451.08,-157.64,A
0.4402,-0.2079,-0.2303,12.11,-649.11,-211.33,A
0.9067,-0.4968,0.974,53.06,-707.14,-168.0,A
0.9184,-0.4919,2.0891,118.3,-664.93,-88.06,A
0.8145,-0.2679,2.2897,193.76,-448.28,-45.92,A
0.6173,-0.0859,2.1116,169.96,-311.22,-50.96,A
0.5876,0.3899,1.9227,146.72,-189.77,-72.45,A
0.6837,-0.3357,1.6455,182.07,-104.79,-10.78,A
0.6627,-0.0986,1.6978,211.26,7.0,2.59,A
0.5163,0.102,1.3059,150.85,64.33,5.67,A
0.508,-0.0205,1.2337,108.22,126.91,1.26,A
0.4563,0.0566,1.0585,118.23,161.28,30.38,A
0.2372,0.4421,1.0892,78.89,167.16,-6.44,A
